"name","label"
"cmdb_ci_file_system","File System"
"cmdb_ci_app_simulation_inc","Simulation Inclusion"
"cmdb_ci_sa_simple_policy","Simple Scaling Policy"
"question_regex","Question Regular Expression"
"cmdb_ci_bundled_resources","Bundled Resources"
"ecc_agent_package","MID Server Packages"
"sys_aw_renderer","Workspace Renderer"
"ts_c_2_7","Text Index for core_country"
"sc_homepage_renderer","Homepage Category Renderer"
"sys_replication_queue5","Replicated Operation"
"ts_c_8_7","Text Index for std_change_producer_version"
"cmdb_ci_endpoint_biztalk","BizTalk Connection Endpoint"
"cmdb_ci_appl_mongo_config_serv","Mongo Config Server"
"proposed_change_verification_log0003","Proposed Change Verification Log"
"sys_outbound_http_log0001","Outbound HTTP Log"
"v_st_popular_item","Popular Item"
"scan_log","Scan Log Entry"
"jdbc_credentials","Jdbc Credentials"
"discovery_probes_multi_probe","MultiProbe Included Probe"
"pa_ds_preference","PA Analytics Hub Preferences"
"ua_sp_usage","Service Portal Usage"
"cmdb_convert_bulk_services_entry","Bulk Convert Services Entry"
"sys_sg_section","Mobile Section"
"cmdb_ci_memory_module","Memory Module"
"m2m_search_context_config_search_source","Application Search Sources"
"cmdb_ci_storage_controller","Storage Controller"
"asset_job_log_detail","Asset Job Log Details"
"sn_bm_client_user_profile","User Profile"
"cmdb_ci_storage_pool_member","Storage Pool Member"
"ts_c_6_5","Text Index for live_message"
"svc_model_obj_deployable","Service Model Deployable"
"ts_c_10_3","Text Index for kb_social_qa_answer"
"sys_embedded_help_role","Embedded Help Role Priority"
"syslog_cancellation0002","Transaction Cancellation Log Entry"
"sys_rollback_run","Execution History"
"sys_rollback_sequence","Rollback Sequence"
"cmdb_ci_storage_def_template","Storage Default Template"
"temp_cmdb_ci_disk","Temp Disk"
"oauth_credential","Oauth Credential"
"metric_instance","Metric"
"pa_text_stop_words","Text Analytics Stop Words"
"snc_monitorable_item","Monitorable Item"
"cmdb_ci_appl_ibm_cics","IBM CICS"
"ts_c_11_5","Text Index for task"
"ts_synonym_set","Synonym Set"
"ts_v4_14_0","Text Index for sys_user"
"cmdb_ci_appl_ibm_wmq_queue","IBM WebSphere MQ Queue"
"cmdb_ci_fuel_tank","Fuel Tank"
"stage_set_table","Stage Set for Table"
"sp_page","Page"
"sys_email_digest_part_user","Email Digest Part User"
"m2m_blacklist_search_suggestion","Blacklist Rule and Search Suggestion Relations"
"sys_build_suggestion_log","Build Suggestion Log"
"task_outage","Outages Tasks Link"
"discovery_probes_multi","MultiProbe"
"sc_cat_item_content","Content Item"
"item_option_category","Variable Category"
"sc_recurring_rollup","Recurring Price"
"sys_replication_queue3","Replicated Operation"
"sys_development_permission_set","Development Permission Set"
"sys_development_permission","Development Permission"
"itil_agreement_ci","SLA/OLA General CI relationships"
"antivirus_activity","Antivirus Activity"
"security_nonce","Security Nonce"
"sys_atf_parameter_run","Parameter Set Run"
"import_log0002","Import Log"
"ua_role_ct","Role for Custom Tables"
"cmdb_ci_iscsi_export","iSCSI Export"
"v_st_recent_item","Recent Item"
"v_sql_debug","v_sql_debug"
"scan_table_check","Table Check"
"scan_check_execution","Check Execution"
"sys_ui_mobile_home_page_m2m_home_page_section","Home Page Section"
"cmdb_ci_mainframe_hardware","Mainframe Hardware"
"discovery_active_error","Discovery Active Error"
"kb_social_qa_vote","Social Q&A Vote"
"cmdb_ci_compute_template","Hardware Type"
"sc_cat_item_app_group","Approving Groups"
"global","Global"
"sys_ui_style","Style"
"sys_element_mapping","Element Mapping"
"item_option_new_set","Variable Set"
"cmdb_ci_cloud_lb_ipaddress","Cloud LB IPAddress"
"cmdb_ci_nat_gateway","NAT Gateway"
"cmdb_ci_zone","Data Center Zone"
"cmdb_ci_endpoint_network","Network Endpoint"
"pa_indicator_breakdown_excl","Breakdown matrix exclusions"
"ts_c_6_4","Text Index for live_message"
"cmdb_view","CMDB View"
"sys_ux_custom_content_root_elem","UX Custom Content Extension"
"ts_c_23_0","Text Index for sqanda_question"
"ts_c_23_2","Text Index for sqanda_question"
"sys_transform_definition","Transform Definition"
"sys_transform_type","Supported Types for Transformations"
"sys_rollback_log","Rollback Log"
"sys_rollback_context","Rollback Context"
"dscy_swtch_partition","Switch Partition"
"sp_instance_vlist","Instance of Simple List"
"cmdb_ci_email_server_ent_vault","Enterprise Vault"
"kb_uc_cannot_contribute_mtom","Who Cannot Contribute To Knowledge Base"
"cmdb_ci_appl_active_directory","Active Directory Service"
"sys_update_set_source","Remote Instance"
"sys_sg_item_stream_segment","Item Stream Segment"
"ts_field","Ts Field"
"pa_diagnostic_log0000","Diagnostic Log"
"scan_log0005","Scan Log Entry"
"sys_flow_timer_trigger","Timer Trigger"
"sftp_file_metadata","Sftp File Metadata"
"v_transaction","Active Transactions"
"cmn_notif_grmember","Group Member"
"license_details_audit_log","Subscription Audit Log"
"sys_query_rewrite","Query Rewrite"
"cmdb_ci_chassis_server","Server Chassis"
"discovery_device_history","Device"
"cmdb_ci_appl_ora_metric_client","Oracle Metric Client"
"std_change_producer_version","Standard Change Template Version"
"cmdb_metadata_hosting","CMDB Metadata Hosting Rules"
"sysauto_indicator_notifications","Scheduled Email Summary"
"sys_replication_queue1","Replicated Operation"
"sys_glide_object","Field class"
"cmdb_ci_vm_zones","Zones"
"itil_agreement_owners","SLA/OLA Business Owners"
"iana_enterprise_numbers","IANA Enterprise Number"
"cmdb_ci_appl_sap_ascs","SAP ASCS Application"
"cmdb_ci_ad_domain","AD Domain"
"import_log0003","Import Log"
"svc_recomputation_log0004","Service Recomputation Performance Log"
"cmdb_ci_appl_hp_operations","HP Operations Manager"
